Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
81,"Product Manager, Terminal Device Expansion",Stripe,"Seattle, San Francisco",,https://stripe.com/jobs/search?gh_jid=7397265,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching api, infrastructure, analytics",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Product Manager, Terminal Device Expansion",Stripe,San Francisco,,https://stripe.com/jobs/search?gh_jid=7927089,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching api, infrastructure, analytics",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Staff Product Manager, AI Personalization",Airbnb,United States,,https://careers.airbnb.com/positions/7834495?gh_jid=7834495,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, ml",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
81,"Group Product Manager, Core Infrastructure & Reliability",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/7997785?gh_jid=7997785,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, machine learning, generative",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
80,Senior Product Manager Applied AI,Smartsheet,,,https://remoteOK.com/remote-jobs/remote-senior-product-manager-applied-ai-smartsheet-1131233,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml, agentic",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
80,"Senior Product Manager, DET",Duolingo,"Pittsburgh, PA",,https://careers.duolingo.com/jobs/8530395002?gh_jid=8530395002,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
79,"Group Product Manager, Compliance Automation",Coinbase,Remote - USA,,https://www.coinbase.com/careers/positions/7701642?gh_jid=7701642,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, machine learning, ml",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
77,Product Manager,PadSplit,"Atlanta, Atlanta, Georgia, United States",,https://remoteOK.com/remote-jobs/remote-product-manager-padsplit-1133393,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, artificial intelligence, analytics",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
77,Senior Product Manager Core Infrastructure,Mesh,,,https://remoteOK.com/remote-jobs/remote-senior-product-manager-core-infrastructure-mesh-1130848,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
77,"Product Manager, AI Platform",Figma,"San Francisco, CA • New York, NY • United States",,https://boards.greenhouse.io/figma/jobs/5830640004?gh_jid=5830640004,"Role matches Product Manager; Job is explicitly open to Worldwide, APAC, or Indonesia remote candidates; Mid-level or unspecified seniority; Has AI or technical relevance: matching ai, technical product, infrastructure",Does not match target domains (SaaS/FinTech),2026-06-22T12:56:11.000Z
