Score,Title,Company,Location,Salary,URL,Match Reasons,Rejection Reasons,FetchedAt
65,Senior Product Manager - Analytics,Monday.com,London,,https://jobs.ashbyhq.com/monday.com/55ea3b77-ea55-46e0-b5c7-d8e2fb5cb4b6,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, agentic, agents","Location ""London"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
65,Senior Product Manager,Monday.com,Tel Aviv,,https://jobs.ashbyhq.com/monday.com/6dee62d8-e392-4585-8fb8-600147b2d7af,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, agents",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
65,Lead AI Product Manager - AI Trust,Monday.com,Tel Aviv,,https://jobs.ashbyhq.com/monday.com/c81ed7e8-f365-417e-a1fa-f683a9376c50,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, ml, agentic",No explicit worldwide or region-free remote availability found; Does not match target domains (SaaS/FinTech),2026-06-27T11:52:46.000Z
65,"Sr/Staff Product Manager, Developer Platform",Runway ML,New York,,https://jobs.ashbyhq.com/runway-ml/90a95d63-ce92-42c4-a3dc-51f0f7cd281b,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, artificial intelligence, ml","Location ""New York"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
64,"Group Product Manager, Invest",SoFi,NY - New York City; CA - San Francisco,,https://sofi.com/careers/job/7701322003?gh_jid=7701322003,Role matches Product Manager; Mid-level or unspecified seniority; Matches preferred domain(s): FinTech; Has AI or technical relevance: matching analytics,"Location ""NY - New York City; CA - San Francisco"" indicates a region-locked role, not globally remote",2026-06-27T11:52:46.000Z
63,Product Manager,Linear,North America,,https://jobs.ashbyhq.com/linear/b7669c4b-eeca-421d-ba9a-d90203f6fcb2,"Role matches Product Manager; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, agents","Location ""North America"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
63,Product Manager,Linear,Europe,,https://jobs.ashbyhq.com/linear/86abcce0-04b2-405c-9a8e-e0ca84813914,"Role matches Product Manager; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, agents","Location ""Europe"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
63,Senior Product Manager,Lemon.io,"Americas, Europe, Asia, Oceania",,https://remotive.com/remote-jobs/product/senior-product-manager-2090984,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching ai, llm, machine learning","Location ""Americas, Europe, Asia, Oceania"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,Product Manager,PancakeSwap,Remote,$60.000 - $120.000,https://remoteOK.com/remote-jobs/remote-product-manager-pancakeswap-1129483,Role matches Product Manager; Job is listed as remote but region criteria is not explicitly stated; Mid-level or unspecified seniority; Salary range is disclosed,Does not match target domains (SaaS/FinTech),2026-06-22T12:55:44.000Z
61,"Product Manager, Ecosystem Risk",Stripe,Dublin,,https://stripe.com/jobs/search?gh_jid=7943244,"Role matches Product Manager; Requires 7+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, api, infrastructure","Location ""Dublin"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Product Manager, Ecosystem Risk",Stripe,London,,https://stripe.com/jobs/search?gh_jid=7947422,"Role matches Product Manager; Requires 7+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, api, infrastructure","Location ""London"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-27T11:52:46.000Z
61,"Product Manager, EMEA Payments Lead",Stripe,"Dublin, Ireland",,https://stripe.com/jobs/search?gh_jid=7768979,"Role matches Product Manager; Seniority matches target profile (Senior/Lead/Leadership); Has AI or technical relevance: matching api, infrastructure","Location ""Dublin, Ireland"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-22T12:56:11.000Z
61,"Product Manager, Local Processor Acquiring",Stripe,London,,https://stripe.com/jobs/search?gh_jid=8018427,"Role matches Product Manager; Requires 6+ years of experience, indicating senior level; Has AI or technical relevance: matching ai, api, infrastructure","Location ""London"" indicates a region-locked role, not globally remote; Does not match target domains (SaaS/FinTech)",2026-06-22T12:56:11.000Z
